1.000000000000000056e-01	1.355921257095313026e-01	4.179137364062416538e+00	8.146335619667050310e+01
1.355921257095313026e-01	1.838522455442933856e-01	3.594862026417088519e+00	7.007419989442414021e+01
1.838522455442933856e-01	2.492891678982144810e-01	2.942183777481385487e+00	5.735211695291153688e+01
2.492891678982144810e-01	3.380164819167915113e-01	2.333018258742214357e+00	4.547816748330823344e+01
3.380164819167915113e-01	4.583237330795510434e-01	1.805115705273115045e+00	3.518780883678957139e+01
4.583237330795510434e-01	6.214508923138416518e-01	1.354211277028718241e+00	2.639811616807484285e+01
6.214508923138416518e-01	8.426384751291882136e-01	9.909206459646614507e-01	1.931636500073514284e+01
8.426384751291882136e-01	1.142551420474046342e+00	7.014805651378518414e-01	1.367418258825987643e+01
1.142551420474046342e+00	1.549209758345204913e+00	4.776662539828016585e-01	9.311270542140364981e+00
1.549209758345204913e+00	2.100606443039755522e+00	3.168775388783729996e-01	6.176895677844154164e+00
2.100606443039755522e+00	2.848256928908980079e+00	2.098097944743663734e-01	4.089783907979168021e+00
2.848256928908980079e+00	3.862012115576700655e+00	1.419345895942536184e-01	2.766743693448660224e+00
3.862012115576700655e+00	5.236584322670087666e+00	1.000314291049865939e-01	1.949924787449878183e+00
5.236584322670087666e+00	7.100395997680434945e+00	7.357976471453757383e-02	1.434296381319013713e+00
7.100395997680434945e+00	9.627577867049382121e+00	5.630229849472292297e-02	1.097503185438053697e+00
9.627577867049382121e+00	1.305423748427261188e+01	4.442144320828279869e-02	8.659057178734503868e-01
1.305423748427261188e+01	1.770051810009568172e+01	3.549610662799467659e-02	6.919279681832721796e-01
1.770051810009568172e+01	2.400050875352008006e+01	2.839798398703987162e-02	5.535674409341522217e-01
2.400050875352008006e+01	3.254279999999999973e+01	2.209565532451366818e-02	4.307084269728723713e-01
